"","what","scenario","status","mean"
"1","Climate","SSP1-RCP2.6","UW",-6.54141621137135
"2","Climate","SSP1-RCP2.6","PW",-14.5237828006262
"3","Climate","SSP1-RCP2.6","AW",-7.67794210685676
"4","Climate","SSP5-RCP8.5","UW",49.7721228097451
"5","Climate","SSP5-RCP8.5","PW",28.4666835758672
"6","Climate","SSP5-RCP8.5","AW",46.7386636052295
"7","Land use","SSP1-RCP2.6","UW",16.469350884473
"8","Land use","SSP1-RCP2.6","PW",10.9275790747515
"9","Land use","SSP1-RCP2.6","AW",15.6803158159636
"10","Land use","SSP5-RCP8.5","UW",19.5215725034789
"11","Land use","SSP5-RCP8.5","PW",27.676860656534
"12","Land use","SSP5-RCP8.5","AW",20.6827188962754
