"","cat","vcc_Base_mn","vcc_Base_95CI","vcc_SSP1_mn","vcc_SSP1_95CI","vcc_SSP5_mn","vcc_SSP5_95CI","vccPDeviation","lui_Base_mn","lui_Base_95CI","lui_SSP1_mn","lui_SSP1_95CI","lui_SSP5_mn","lui_SSP5_95CI","luiPDeviation","N"
"1","AA",5.0727825979675,"(4.869,5.277)",6.70491155930154,"(6.475,6.935)",6.48756993405466,"(6.329,6.646)",3,0.115754264638027,"(0.099,0.133)",0.126462122723215,"(0.109,0.144)",0.111145451684509,"(0.094,0.128)",13,3589
"2","AT",2.18031985912655,"(1.944,2.417)",3.29978022276328,"(3.084,3.516)",4.72653634969712,"(4.386,5.067)",-36,0.20566312953794,"(0.15,0.261)",0.210886721088904,"(0.155,0.266)",0.698237050176564,"(0.643,0.754)",-120,1107
"3","IM",0.703423945602922,"(0.602,0.805)",0.869271603942791,"(0.779,0.959)",1.33725276454398,"(1.189,1.486)",-43,1.09933293367366,"(0.998,1.2)",0.653084893165282,"(0.552,0.754)",1.01541080799255,"(0.914,1.116)",-44,751
"4","NA1",2.30834672997931,"(2.245,2.372)",1.97238088148029,"(1.933,2.011)",4.07578648584795,"(4.012,4.139)",-73,0.199166634521487,"(0.183,0.215)",0.288318558039276,"(0.272,0.304)",0.272181369249287,"(0.256,0.288)",6,13541
"5","NT",2.85295703998504,"(2.749,2.957)",3.10704115594299,"(3.014,3.2)",4.97693876091542,"(4.837,5.117)",-47,0.186729553183746,"(0.158,0.215)",0.398916642160373,"(0.371,0.427)",0.501889611750188,"(0.474,0.53)",-23,5672
"6","PA",3.02092642542113,"(2.965,3.077)",2.52767244773835,"(2.485,2.57)",4.43184706282803,"(4.354,4.51)",-56,0.171364467813642,"(0.155,0.187)",0.196024214816097,"(0.18,0.212)",0.203852526173993,"(0.188,0.22)",-4,18005
"7","nonPA",2.8291843974969,"(2.786,2.872)",2.56317463847804,"(2.525,2.601)",4.51835577880706,"(4.467,4.57)",-57,0.190285972189228,"(0.179,0.202)",0.234820347737267,"(0.223,0.246)",0.239700744065636,"(0.228,0.251)",-2,34039
"8","PA",2.58911997278891,"(2.49,2.688)",2.62670552747095,"(2.531,2.722)",4.13640559566884,"(4.028,4.245)",-45,0.155240739476866,"(0.139,0.171)",0.262513523007287,"(0.246,0.279)",0.320471713961535,"(0.304,0.337)",-20,8626
"9","nonwild",1.66070172459457,"(1.646,1.676)",1.66023468778623,"(1.647,1.673)",2.54117325720004,"(2.524,2.558)",-43,0.58546625560569,"(0.576,0.595)",0.420288421279376,"(0.411,0.43)",0.422226370568013,"(0.413,0.432)",0,173149
"10","wild",2.77891649998894,"(2.739,2.819)",2.57589415327657,"(2.54,2.612)",4.43838889599413,"(4.392,4.485)",-54,0.182613914077661,"(0.173,0.192)",0.240173149563703,"(0.23,0.25)",0.254195793795504,"(0.244,0.264)",-6,42665
